link,Valid,HTTP_Code,Length,
https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/botscout_1d.ipset,2022-05-18 16:12:38,200,22877,
https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/cruzit_web_attacks.ipset,2022-05-18 16:12:38,200,177111,
https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/malwaredomainlist.ipset,2022-05-18 16:12:38,200,14836,
https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/proxylists_1d.ipset,2022-05-18 16:12:39,200,72720,
https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/proxyspy_1d.ipset,2022-05-18 16:12:39,200,4990,
https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/socks_proxy_7d.ipset,2022-05-18 16:12:39,200,105562,
https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/sslproxies_1d.ipset,2022-05-18 16:12:39,200,7030,
https://raw.githubusercontent.com/futpib/policeman-rulesets/master/examples/simple_domains_blacklist.txt,2022-05-18 16:12:40,200,528651,
https://rules.emergingthreats.net/open/suricata/rules/emerging-dns.rules,2022-05-18 16:12:40,200,30405,
https://secure.dshield.org/ipsascii.html?limit=1000,2022-05-18 16:12:42,200,49796,
https://sslbl.abuse.ch,2022-05-18 16:12:43,200,4596,
https://threatfeeds.io/,2022-05-18 16:13:43,200,45660,
https://urlhaus.abuse.ch/downloads/csv/,2022-05-18 16:14:14,200,3717255,
https://www.circl.lu/doc/misp/feed-osint/,2022-05-18 16:15:32,200,380617,
https://www.maxmind.com/en/anonymous_proxies,2022-05-18 16:15:34,200,74161,
https://www.maxmind.com/en/high-risk-ip-sample-list,2022-05-18 16:15:34,200,74161,
https://www.turris.cz/greylist-data/greylist-latest.csv,2022-05-18 16:16:37,200,644,
http://rules.emergingthreats.net/fwrules/emerging-Block-IPs.txt,2022-05-18 16:16:39,200,23950,
http://rules.emergingthreats.net/blockrules/compromised-ips.txt,2022-05-18 16:16:39,200,6523,
https://sslbl.abuse.ch/blacklist/sslipblacklist.csv,2022-05-18 16:16:39,200,2104,
https://reputation.alienvault.com/reputation.generic,2022-05-18 16:16:40,200,40171,
https://lists.blocklist.de/lists/all.txt,2022-05-18 16:17:01,200,291228,
http://www.darklist.de/raw.php,2022-05-18 16:17:02,200,76005,
https://openphish.com/feed.txt,2022-05-18 16:17:02,200,29462,
